aveng*;-1
avers*;-1
avert*;-1
avid*;1
avoid;-1
avoid*;-1
avoided;-1
avoids;-1
await;-1
awaited;-1
award;3
award*;1
awarded;3
awards;3
awareness;1
awesome;4
awesome*;1
awful;-3
awful*;-1
awkward;-2
awkward*;-1
awry*;-1
ax;-1
axe;-1
axed;-1
axes;-1
axing;-1
babbl*;-1
back seat;-1
backbon*;1
backed;1
backlash*;-1
backlog;-1
backs;1
backslide;-1
backward*;-1
bad;-3
bad;-1
badass;-3
badd*;-1
badger*;-1
badland*;-1
badly;-3
badly*;-1
badmouth*;-1
badness;-1
baffl*;-1
bail;-1
bailed;-1
bailee;-1
bailer*;-1
bailing;-1
bails;-1
bait*;-1
balance*;1
balk;-1
balked;-1
balks;-1
balky;-1
ballast*;-1
balled;-1
balling;-1
balmy*;1
bamboozl*;-1
ban;-2
banal*;-1
bandit*;-1
bane;-1
baneful*;-1
banes;-1
banish*;-1
bankrupt*;-1
banned;-2
barb;-1
barbarian*;-1
barbarous;-1
barbed;-1
barbwire*;-1
bare*;-1
barely;-1
baring;-1
bark;-1
barked;-1
barking;-1
barks;-1
barred;-1
barren*;-1
barricad*;-1
barrier;-2
barring;-1
bashful*;-1
bastard;-5
bastard*;-1
bastards;-5
battered;-1
batterer;-1
battering;-1
battle;-1
battle;-1
battled;-1
battles;-1
battles;-1
beak;-1
beaked;-1
beaks;-1
beaming;1
beast*;-1
beatable;-1
beaten;-2
beaten;-1
beater*;-1
beatif*;1
beating;-1
beating*;-1
beatitude*;1
beaut*;1
beauties;3
beautiful;3
beautifully;3
becharm*;1
bedevil*;-1
befit*;1
befriend*;1
befuddl*;-1
beggar*;-1
begrudg*;-1
beguil*;-1
behalf*;1
behead*;-1
belabor*;-1
belabour*;-1
belated*;-1
beleaguer*;-1
belie;-1
belittl*;-1
bellicose*;-1
belligeren*;-1
beloved;3
beloved*;1
bemus*;-1
benefactor*;1
benefic*;1
benefit;2
benefit*;1
benefitted;2
benevolen*;1
benign*;1
berat*;-1
bereav*;-1
bereft*;-1
berserk*;-1
beset*;-1
besiege*;-1
best;3
best;1
betray;-3
betray*;-1
betrayal;-3
betrayed;-3
betraying;-3
betrothed*;1
better;2
better;1
bewar*;-1
bewilder*;-1
bewitch*;1
beyond the pale;-1
bias;-1
bias*;-1
biased;-2
bicker*;-1
big;1
big break*;1
big heart*;1
big lie*;-1
bigot*;-1
bimbo*;-1
bitch;-5
bitch*;-1
bitches;-5
bite*;-1
biting;-1
bitter;-2
bitter*;-1
bitterly;-2
bitty;-1
bizarr*;-1
bizarre;-2
black hole*;-1
black mark*;-1
blackball*;-1
blacken*;-1
blacker;-1
blackest;-1
blackheart*;-1
blackly;-1
blackmail*;-1
blah;-2
blame;-2
blame;-1
blamed;-2
blamed;-1
blameful*;-1
blameless*;1
blamer;-1
blames;-2
blames;-1
blameworthy;-1
blanch*;-1
bland*;-1
blase*;-1
blasphem*;-1
blast;-1
blasted;-1
blaster*;-1
blasting;-1
blasts;-1
blatant*;-1
bleak*;-1
bleary*;-1
blemish*;-1
bless;2
bless*;1
blessing;3
blind;-1
blind;-1
blinded;-1
blinder*;-1
blindest;-1
blinding*;-1
blindly;-1
blindness*;-1
blinds*;-1
bliss;3
bliss*;1
blissful;3
blith*;1
block;-1
block;-1
blockage*;-1
blockbuster;3
blocked;-1
blocked;-1
blockhead*;-1
blocking;-1
blocking*;-1
blocks;-1
blood*;-1
bloody;-3
bloom;1
bloomed;1
blooming;1
blooms;1
bloomy;1
blossom*;1
blow;-1
blow a kiss;1
blowback*;-1
blowhard*;-1
blowhole*;-1
blown;-1
blows;-1
bluff*;-1
blunder*;-1
blunt*;-1
blur;-1
blurred;-1
blurri*;-1
blurry;-2
blurry;-1
blurs;-1
blurt*;-1
bluster;-1
blustering;-1
boast*;-1
boastful;-2
boastful*;-1
boding*;-1
bog;-1
bogeym*;-1
bogg*;-1
bogus*;-1
boisterous*;-1
bold;2
bold;1
bolder;1
boldest;1
boldly;2
boldly;1
boldness;1
bolster*;1
bolt*;-1
bomb;-1
bomb;-1
bombard*;-1
bombast*;-1
bombed;-1
bomber*;-1
bombing*;-1
bombs;-1
bondage*;-1
bonny*;1
boo;-1
booing;-1
boon;1
boorish*;-1
boosted;1
boosting;1
bore;-2
bore*;-1
bored;-2
